"StateName","state_id","DistrictName","DISTRICT_ID","TotalUAM","General","SC","ST","OBC","_CreatedDate"
"ANDHRA PRADESH","28","ANANTHAPUR","520","4666","1826","786","273","1781","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","CHITOOR","511","9948","3457","2507","771","3213","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","EAST GODAVARI","512","7928","3463","1641","96","2728","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","GUNTUR","509","7900","4972","1324","404","1200","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","KRISHNA","517","7603","5110","977","172","1344","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","KURNOOL","506","6924","3294","1566","194","1870","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","PRAKASAM","510","24125","6095","8648","859","8523","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","SPSR NELLORE","518","45332","6400","14486","4364","20082","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","SRIKAKULAM","522","2105","488","225","68","1324","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","VISAKHAPATNAM","519","9246","4957","901","207","3181","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","VIZIANAGARAM","513","11478","3029","1483","1705","5261","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","WEST GODAVARI","505","14826","6662","2276","140","5748","2019-08-06T08:25:25.900"
"ANDHRA PRADESH","28","Y.S.R","503","30780","8216","5621","1159","15784","2019-08-06T08:25:25.900"
"ARUNACHAL PRADESH","12","ANJAW","628","6","1","0","0","5","2019-08-06T08:25:38.517"
"ARUNACHAL PRADESH","12","CHANGLANG","269","20","12","0","5","3","2019-08-06T08:25:38.517"
"ARUNACHAL PRADESH","12","DIBANG VALLEY","267","8","2","1","1","4","2019-08-06T08:25:38.517"
"ARUNACHAL PRADESH","12","EAST KAMENG","260","7","0","2","4","1","2019-08-06T08:25:38.517"
"ARUNACHAL PRADESH","12","EAST SIANG","265","20","5","1","12","2","2019-08-06T08:25:38.517"
"ARUNACHAL PRADESH","12","KURUNG KUMEY","631","7","1","0","6","0","2019-08-06T08:25:38.517"
"ARUNACHAL PRADESH","12","LOHIT","268","10","4","0","5","1","2019-08-06T08:25:38.517"
"ARUNACHAL PRADESH","12","LONGDING","630","3","2","0","1","0","2019-08-06T08:25:38.517"
